Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
100,0.0004611047275057959,0.0004816306824563875,2.354451233134852e-05,0.0010680632440420233,0.0007004779227154307,2.594660201613258e-05,0.0018266329378499382,0.0009665794623610735,6.445312195944175e-05,0.002432598831460543
110,0.0005118177403902923,0.0004899477324120834,2.464374085691557e-05,0.0010540472651254871,0.0007009625638805658,2.640078018642454e-05,0.0018057085347778603,0.0009173648108260321,6.393761722862888e-05,0.002379215862570372
120,0.0006344397139523597,0.0005409189007791399,3.285245130226738e-05,0.0011292963236955549,0.0007406019175081905,3.3116269077463686e-05,0.0018265536253137043,0.0009160687481056079,5.415053245220976e-05,0.002379215862570372
130,0.0005719822014658156,0.0005174847389503219,6.337703811132493e-05,0.0011292963236955549,0.0007354729529450026,3.3116269077463686e-05,0.0018265536253137043,0.0009067216783861985,6.393761722862888e-05,0.0023203591943830844
140,0.0003275681341719009,0.0004122452353573485,3.727573942304838e-05,0.000995137777858678,0.0006898299228638643,4.229473767862105e-05,0.001750079623582928,0.0009081154187355818,6.422153783794915e-05,0.0023206889085414105
150,0.00012577382349970243,0.0003540754576907943,9.809840024148975e-06,0.0008749859866451033,0.0006477200391263053,3.772706616983014e-05,0.001664272201456441,0.0008773832661986257,6.590365354944241e-05,0.0022528251604408502
160,0.0,0.0002990553891075298,5.35474793141995e-06,0.0007844331788082185,0.0006159945445492418,2.4016221549777542e-05,0.001659259359597354,0.0008450826789244897,3.396462829087129e-05,0.0022528251604408502
170,7.364909196501946e-05,0.00027247336528108887,1.9424348277540328e-05,0.0006785631270012939,0.0005548121304952191,1.560704906628883e-05,0.0015702652253844268,0.0008286352660176599,1.9731123788189268e-05,0.0022528251604408502
180,8.680322296502843e-05,0.00025230711730743764,0.0,0.0006759041303939639,0.0005196664848859367,2.1053687525865026e-18,0.001437110950397699,0.0008104459130338221,3.396462829087129e-05,0.0022528251604408502
190,5.7987374215719636e-05,0.00024049499997359506,0.0,0.0006607116479341176,0.0005047409155075015,2.1053687525865026e-18,0.0013249785211146608,0.0007926581235017985,3.396462829087129e-05,0.0022528251604408502
200,1.5852282094529993e-05,0.00025125063008168145,0.0,0.0007075391204356305,0.0004799269662635004,2.1053687525865026e-18,0.0012524906285098201,0.0007711384993123179,3.396462829087129e-05,0.002250030493697309
210,8.012865505184175e-05,0.00026902196381506984,0.0,0.0007848213848519046,0.00048784476608141654,1.554726368159177e-05,0.0012148871053671729,0.0007787142535501898,1.9731123788189268e-05,0.002250030493697309
220,0.00012445249343424143,0.00027933042324634563,0.0,0.0007848213848519046,0.0004889919815206091,2.1053687525865026e-18,0.001174786894018935,0.0007385167972301373,1.9731123788189268e-05,0.0019925537109098616
230,9.17054345022576e-05,0.0002651227745780702,0.0,0.0007756746836982974,0.0004741087506031407,2.8769208979533485e-05,0.0011549229952604952,0.0006746736628265498,1.0383660890727614e-05,0.0019925537109098616
240,0.0001364988943589528,0.00025514536711320596,6.754934807329128e-06,0.0007365349948314477,0.0004600420060921856,2.8167185398925687e-05,0.001148943766330433,0.0006512909929771444,1.9731123788189268e-05,0.0019925537109098616
250,9.97098775486461e-05,0.00023803342026857227,1.5682845856172746e-05,0.0006332353661153845,0.00042931728208155605,2.8167185398925687e-05,0.0011154150312544038,0.0006262794123205383,1.9731123788189268e-05,0.0019925537109098616
